Date,AAPL,AMZN,BAC,C,FB,GOOG,MSFT,JPM,V,WFC
1/25/2021,0.036374494,0.045521163,-0.063456346,0.04765275,0.037819918,0.142863375,0.04414546,0.022682459,0.010891399,0.113960771
2/1/2021,-0.008684646,-0.022206627,0.052859241,0.036858489,0.008951861,0.002912348,0.01151931,0.030858176,0.037142053,0.011411316
2/8/2021,-0.040629405,-0.0084846,0.043815685,0.035116114,-0.033049915,-0.001411625,-0.016408788,0.066417247,0.031437902,0.054223224
2/15/2021,-0.06629699,-0.04829994,0.081788403,0.058596577,-0.015063477,-0.030592874,-0.033426487,0.045614042,0.03948223,0.038189926
2/22/2021,0.001319468,-0.029897208,0.096681738,0.089999944,0.025852046,0.035191449,-0.003356577,0.093959812,0.073816822,0.120654695
3/1/2021,-0.003212002,0.029672127,0.007097369,0.023486168,0.015589507,-0.022110141,0.017918841,-0.010991907,0.008622826,0.017068815
3/8/2021,-0.008592899,-0.004703051,-0.056379699,-0.073323776,0.080886704,-0.009078903,-0.022905626,-0.03308357,-0.059605872,-0.088429888
3/15/2021,0.010167473,-0.007456986,-0.008254742,0.039659579,-0.024438993,-0.003744079,0.026611626,-0.027532614,-0.031565648,0.021596765
3/22/2021,0.014767775,0.035704095,-0.025762931,-0.016095938,0.055261167,0.050207535,0.024822387,0.003848255,-0.023207349,-0.00554507
3/29/2021,0.081300821,0.066814284,-0.007729933,-0.026761366,0.046206344,0.069292426,0.055704607,-0.03504926,-0.017885548,-0.02648535
4/5/2021,0.008721937,0.00807781,0.032390418,0.000388791,-0.020098567,0.005197179,0.019112698,0.036606113,0.014405942,0.014139951
4/12/2021,0.001192484,-0.017226384,-0.026211287,-0.013694675,-0.016493527,0.007633538,0.001572578,-0.039145998,-0.034833887,-0.019237562
4/19/2021,-0.021292337,0.037876261,0.026101069,0.014967992,0.079533695,0.040953685,-0.034348133,0.026495656,-0.005830007,0.030052242
4/26/2021,-0.009508506,-0.050703353,0.062400675,0.067429882,-0.018456996,-0.004742575,0.00111029,0.102692322,0.082099857,0.090670806
5/3/2021,-0.01953417,-0.020874345,0.008873904,-0.00499905,-0.009840746,-0.034406293,-0.017072052,0.016612077,-0.011870938,-0.026589741
5/10/2021,-0.015849293,-0.006149686,-0.004877958,-0.048871852,0.000917924,0.0124949,-0.01200881,-0.006932413,-0.002012478,-0.016318159
5/17/2021,-0.006537519,0.006240865,-0.010935191,0.009032507,0.03952819,0.028339925,0.020746937,0.028421909,-0.040676184,-0.009334679
5/24/2021,0.010272045,-0.005227965,0.046130438,0.044898331,0.004928041,0.016669687,0.004445731,0.063757665,0.038270794,0.052766846
5/31/2021,0.011597408,0.043855415,0.003644339,-0.004979153,0.002754666,0.025357262,0.028310635,0.028258719,0.014054716,0.011716789
6/7/2021,0.024420952,0.04185149,-0.052287639,-0.045222912,-0.004830061,-0.001026216,0.00597138,-0.010638216,-0.026673608,-0.028470238
6/14/2021,0.020312751,-0.024503124,0.046743295,0.041444278,0.035521419,0.011368309,0.021547208,0.166814437,0.083825771,0.07052982
6/21/2021,0.051461228,0.032197944,-0.012445117,-0.011463236,0.03904859,0.013575331,0.047656815,-0.021541502,-0.015617176,-0.023043774
6/28/2021,0.036796185,0.059345285,-0.035952536,-0.018855445,-0.012066532,0.006646302,0.001044566,-0.079175831,-0.000251843,-0.030710771
7/5/2021,0.008820835,-0.03917636,-0.082276012,-0.052368569,-0.026425457,0.017526567,0.010110059,-0.062952439,-0.065994917,-0.063857535
7/12/2021,0.014823479,0.023228486,-0.01382488,0.002433494,0.083919582,0.045284124,0.031772004,-0.011235899,-0.008090641,-0.004884849
7/19/2021,-0.018174576,-0.089986932,0.027187699,0.029840208,-0.03648022,-0.018829506,-0.016432455,-0.009469724,0.075312646,0.009291741
7/26/2021,0.001919658,0.005213939,0.057071946,0.001375108,0.020235819,0.01342249,0.01596998,-0.008126186,0.025031627,0.005037333
8/2/2021,0.021783262,-0.015237933,-0.013302018,9.80E-05,-0.000907862,0.009997426,0.011711484,0.041445815,-0.025160305,-0.018838592
8/9/2021,-0.006103301,-0.028543071,-0.050705104,-0.075127468,-0.01049066,0.000223933,0.03930323,-0.096020467,-0.034303941,-0.056926909
8/16/2021,0.002766755,0.04677571,0.05499165,0.060126048,0.036897933,0.044160889,-0.013359759,0.047350933,0.056468614,0.057451646
8/23/2021,0.038357923,0.038338614,-0.006415477,-0.011658593,0.00974158,0.001553087,0.004737799,0.112903223,-0.002007495,-0.016137725
8/30/2021,-0.034543115,-0.002558947,-0.011299424,-0.01456554,0.006458279,-0.019713375,-0.018031549,-0.030522602,-0.010057819,-0.016220199
9/6/2021,-0.019534154,-0.001911097,0.030204043,0.007182313,-0.036890335,-0.00322359,0.014067843,0.141099236,0.008636035,0.021859949
9/13/2021,0.005888014,-0.010685859,0.03961966,0.039685762,-0.03224394,0.008267112,-0.00173406,0.013493918,0.049357752,0.044053706
9/20/2021,-0.029063449,-0.041529464,0.051829324,0.037077563,-0.02819011,-0.043261348,-0.034240892,-0.034002458,0.078233804,0.057996159
9/27/2021,0.00175253,0.001632556,0.046014477,0.035656105,-0.037783218,0.026333285,0.01988932,0.134011874,0.034275586,0.020515384
10/4/2021,0.013575978,0.036611071,0.036716316,0.014437751,-0.016027808,0.01155962,0.031744914,-0.031039641,0.059393096,0.006593777
10/11/2021,0.02658106,-0.02155164,-0.01403278,0.029103164,-0.000461957,-0.021528145,0.016271716,-0.032419934,-0.006906352,0.008467747
10/18/2021,0.007465207,0.011056612,-0.024398457,0.014982219,-0.003203777,0.06957977,0.072648439,-0.037495035,-0.06238494,0.021387871
10/25/2021,0.009879845,0.043458296,-0.032650236,0.002183618,0.054269548,0.006545522,0.013388798,-0.066929116,-0.008071555,0.008531077
11/1/2021,-0.007080221,0.001750477,-0.016876182,-0.004444771,-0.000703515,0.002710329,0.001963993,0.017988031,-0.021772635,-0.018455848
11/8/2021,0.070404678,0.042954249,-0.030727634,-0.020309923,0.012936645,0.002051561,0.018977085,-0.034031435,-0.021023437,-0.036581695
11/15/2021,-0.023294954,-0.046785457,-0.010293595,0.035059202,-0.035273656,-0.047658402,-0.037384016,-0.032746094,-0.025295892,0.009559948
11/22/2021,0.032077024,-0.032748767,0.036594801,-0.000873269,-0.078890488,-0.001999287,-0.020231689,0.035722599,0.033809476,-0.005877567
11/29/2021,0.10881118,0.016062927,0.018580453,0.034350073,0.074664334,0.043183294,0.060462519,0.028854778,0.012667043,0.034816867
12/6/2021,-0.046308153,-0.012742983,-0.040496206,-0.040054066,0.012251733,-0.039495524,-0.054708999,-0.030236657,-0.043893563,-0.047294066
12/13/2021,0.030033891,0.006181722,0.025475286,0.024735969,0.004343992,0.03038803,0.033631916,0.006778197,0.042102758,0.016491771
12/20/2021,0.007317949,-0.025437186,-0.0126066,0.008074856,0.003311109,-0.016738878,0.004870193,-0.007854623,-0.010499954,0.002785955
12/27/2021,-0.030410592,-0.024970461,0.114157008,0.065445259,-0.013557297,-0.053048288,-0.066246425,0.086405792,0.091580212,0.125674099
1/3/2022,0.005227444,-0.00255917,0.079878699,0.03143252,0.00033149,0.020305862,-0.012227732,0.054341038,0.058326331,0.043408916
1/10/2022,-0.06159359,-0.120237052,-0.041510673,-0.015896424,-0.086562162,-0.069352153,-0.045680246,-0.019747236,-0.029353054,0.004174134
1/17/2022,-0.016193615,-0.018626969,0.022468285,0.044756062,-0.00996147,-0.02580102,-0.025470422,0.028606004,0.023451944,0.038243066
1/24/2022,0.012642408,0.009465232,0.017515955,0.011690196,0.003931344,0.03688785,0.028493193,0.008421484,0.037386955,0.002669118
1/26/2022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
